Library                               Size (B)      Time_ns
OpenSSL_1_1_1_AES128GCM                     16        35513
OpenSSL_1_1_1_AES128GCM                     16        34622
OpenSSL_1_1_1_AES128GCM                     16        35047
OpenSSL_1_1_1_AES128GCM                     16        35139
OpenSSL_1_1_1_AES128GCM                     16        35319
OpenSSL_1_1_1_AES128GCM                     16        34684
OpenSSL_1_1_1_AES128GCM                     16        35171
OpenSSL_1_1_1_AES128GCM                     16        35101
OpenSSL_1_1_1_AES128GCM                     16        34770
OpenSSL_1_1_1_AES128GCM                     16        34930
OpenSSL_1_1_1_AES128GCM                     16        34932
OpenSSL_1_1_1_AES128GCM                     16        35396
OpenSSL_1_1_1_AES128GCM                     16        35813
OpenSSL_1_1_1_AES128GCM                     16        36779
OpenSSL_1_1_1_AES128GCM                     16        33793
OpenSSL_1_1_1_AES128GCM                     16        36953
OpenSSL_1_1_1_AES128GCM                     16        34744
OpenSSL_1_1_1_AES128GCM                     16        35738
OpenSSL_1_1_1_AES128GCM                     16        34758
OpenSSL_1_1_1_AES128GCM                     16        36138
OpenSSL_1_1_1_AES128GCM                     16        34600
OpenSSL_1_1_1_AES128GCM                     16        36694
OpenSSL_1_1_1_AES128GCM                     16        37047
OpenSSL_1_1_1_AES128GCM                     16        34536
OpenSSL_1_1_1_AES128GCM                     16        36413
OpenSSL_1_1_1_AES128GCM                     16        35871
OpenSSL_1_1_1_AES128GCM                     16        35637
OpenSSL_1_1_1_AES128GCM                     16        34850
OpenSSL_1_1_1_AES128GCM                     16        38485
OpenSSL_1_1_1_AES128GCM                     16        37618
OpenSSL_1_1_1_AES128GCM                     16        41682
OpenSSL_1_1_1_AES128GCM                     16        36438
OpenSSL_1_1_1_AES128GCM                     16        35858
OpenSSL_1_1_1_AES128GCM                     16        34864
OpenSSL_1_1_1_AES128GCM                     16        38000
OpenSSL_1_1_1_AES128GCM                     16        36457
OpenSSL_1_1_1_AES128GCM                     16        35197
OpenSSL_1_1_1_AES128GCM                     16        34216
OpenSSL_1_1_1_AES128GCM                     16        35816
OpenSSL_1_1_1_AES128GCM                     16        39420
OpenSSL_1_1_1_AES128GCM                     16        35392
OpenSSL_1_1_1_AES128GCM                     16        35510
OpenSSL_1_1_1_AES128GCM                     16        34945
OpenSSL_1_1_1_AES128GCM                     16        36653
OpenSSL_1_1_1_AES128GCM                     16        36135
OpenSSL_1_1_1_AES128GCM                     16        32306
OpenSSL_1_1_1_AES128GCM                     16        32383
OpenSSL_1_1_1_AES128GCM                     16        32572
OpenSSL_1_1_1_AES128GCM                     16        35397
OpenSSL_1_1_1_AES128GCM                     16        34185
OpenSSL_1_1_1_AES128GCM                     16        34387
OpenSSL_1_1_1_AES128GCM                     16        40892
OpenSSL_1_1_1_AES128GCM                     16        31629
OpenSSL_1_1_1_AES128GCM                     16        36260
OpenSSL_1_1_1_AES128GCM                     16        33711
OpenSSL_1_1_1_AES128GCM                     16        32556
OpenSSL_1_1_1_AES128GCM                     16        35012
OpenSSL_1_1_1_AES128GCM                     16        32180
OpenSSL_1_1_1_AES128GCM                     16        35922
OpenSSL_1_1_1_AES128GCM                     16        32707
OpenSSL_1_1_1_AES128GCM                     16        32586
OpenSSL_1_1_1_AES128GCM                     16        33420
OpenSSL_1_1_1_AES128GCM                     16        33484
OpenSSL_1_1_1_AES128GCM                     16        32559
OpenSSL_1_1_1_AES128GCM                     16        34338
OpenSSL_1_1_1_AES128GCM                     16        33252
OpenSSL_1_1_1_AES128GCM                     16        33749
OpenSSL_1_1_1_AES128GCM                     16        34654
OpenSSL_1_1_1_AES128GCM                     16        33845
OpenSSL_1_1_1_AES128GCM                     16        33704
OpenSSL_1_1_1_AES128GCM                     16        34220
OpenSSL_1_1_1_AES128GCM                     16        33497
OpenSSL_1_1_1_AES128GCM                     16        33984
OpenSSL_1_1_1_AES128GCM                     16        34620
OpenSSL_1_1_1_AES128GCM                     16        36567
OpenSSL_1_1_1_AES128GCM                     16        35296
OpenSSL_1_1_1_AES128GCM                     16        34665
OpenSSL_1_1_1_AES128GCM                     16        32894
OpenSSL_1_1_1_AES128GCM                     16        33405
OpenSSL_1_1_1_AES128GCM                     16        36372
OpenSSL_1_1_1_AES128GCM                     16        32603
OpenSSL_1_1_1_AES128GCM                     16        34147
OpenSSL_1_1_1_AES128GCM                     16        32487
OpenSSL_1_1_1_AES128GCM                    512        34246
OpenSSL_1_1_1_AES128GCM                    512        32530
OpenSSL_1_1_1_AES128GCM                    512        32611
OpenSSL_1_1_1_AES128GCM                    512        35703
OpenSSL_1_1_1_AES128GCM                    512        52504
OpenSSL_1_1_1_AES128GCM                    512        36448
OpenSSL_1_1_1_AES128GCM                    512        34641
OpenSSL_1_1_1_AES128GCM                    512        34720
OpenSSL_1_1_1_AES128GCM                    512        31757
OpenSSL_1_1_1_AES128GCM                    512        37666
OpenSSL_1_1_1_AES128GCM                    512        31890
OpenSSL_1_1_1_AES128GCM                    512        32960
OpenSSL_1_1_1_AES128GCM                    512        33273
OpenSSL_1_1_1_AES128GCM                    512        34975
OpenSSL_1_1_1_AES128GCM                    512        33374
OpenSSL_1_1_1_AES128GCM                    512        33582
OpenSSL_1_1_1_AES128GCM                    512        32564
OpenSSL_1_1_1_AES128GCM                    512        33027
OpenSSL_1_1_1_AES128GCM                    512        42483
